sku,name,category,price,oldPrice,sizes,colorNames,colorHex,description,image1,image2,rating,reviewsCount,isNew,isBestSeller,isSale,stock
"KB-012","Hania Everyday Lawn Kurti","Casual Kurtas","10788","","XS;S;M;L;XL","Emerald;Midnight Blue;Onyx","#1F5C4E;#1B2A4A;#1B1B1B","The Hania Everyday Lawn Kurti is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=78","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=79","4.3","157","FALSE","FALSE","FALSE","9"
"KB-013","Laiba Embroidered Lawn 3-Piece","Unstitched Lawn","12894","","XS;S;M;L;XL","Maroon;Sand;Antique Gold","#6E1F2A;#D8C3A0;#C6A664","The Laiba Embroidered Lawn 3-Piece is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=85","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=86","4.9","26","FALSE","FALSE","FALSE","7"
"KB-014","Amal Jacquard Kurti","Ready to Wear","14980","","XS;S;M;L;XL","Rose Dust;Ivory;Emerald","#C79E9E;#F1ECDF;#1F5C4E","The Amal Jacquard Kurti is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=92","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=93","4.3","225","TRUE","FALSE","FALSE","6"
"KB-015","Kainat Silk Formal Shirt & Palazzo","Formal & Party Wear","17021","","XS;S;M;L;XL","Midnight Blue;Onyx;Maroon","#1B2A4A;#1B1B1B;#6E1F2A","The Kainat Silk Formal Shirt & Palazzo is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=99","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=100","4.4","73","FALSE","TRUE","FALSE","7"
"KB-016","Farah Bridal Maxi with Dupatta","Bridal Couture","14240","18987","XS;S;M;L;XL","Sand;Antique Gold;Rose Dust","#D8C3A0;#C6A664;#C79E9E","The Farah Bridal Maxi with Dupatta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=106","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=107","4.7","88","FALSE","FALSE","TRUE","15"
"KB-017","Nimra Velvet Winter Suit","Winter Shawls","20841","","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Nimra Velvet Winter Suit is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=113","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=114","4.2","66","FALSE","FALSE","FALSE","11"
"KB-018","Wardah Printed Cotton Co-ord Set","Casual Kurtas","24037","","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Wardah Printed Cotton Co-ord Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=120","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=121","4.9","46","TRUE","FALSE","FALSE","19"
"KB-019","Sabahat Embroidered Lawn 3-Piece","Unstitched Lawn","6623","","XS;S;M;L;XL","Antique Gold;Rose Dust;Ivory","#C6A664;#C79E9E;#F1ECDF","The Sabahat Embroidered Lawn 3-Piece is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=127","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=128","4.3","63","FALSE","FALSE","FALSE","22"
"KB-020","Zunaira Straight Shirt with Sharara","Ready to Wear","9340","","XS;S;M;L;XL","Emerald;Midnight Blue;Onyx","#1F5C4E;#1B2A4A;#1B1B1B","The Zunaira Straight Shirt with Sharara is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=134","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=135","4.4","152","FALSE","FALSE","FALSE","22"
"KB-021","Mariam Organza Formal Frock","Formal & Party Wear","7670","10221","XS;S;M;L;XL","Maroon;Sand;Antique Gold","#6E1F2A;#D8C3A0;#C6A664","The Mariam Organza Formal Frock is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=141","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=142","4.3","109","FALSE","TRUE","TRUE","22"
"KB-022","Dua Heavy Embellished Gharara Set","Bridal Couture","13693","","XS;S;M;L;XL","Rose Dust;Ivory;Emerald","#C79E9E;#F1ECDF;#1F5C4E","The Dua Heavy Embellished Gharara Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=148","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=149","4.2","207","TRUE","FALSE","FALSE","4"
"KB-023","Eshaal Pashmina Shawl Set","Winter Shawls","15175","","XS;S;M;L;XL","Midnight Blue;Onyx;Maroon","#1B2A4A;#1B1B1B;#6E1F2A","The Eshaal Pashmina Shawl Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=155","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=156","4.3","240","FALSE","FALSE","FALSE","11"
"KB-024","Rameen Chikankari Cotton Kurta","Casual Kurtas","17578","","XS;S;M;L;XL","Sand;Antique Gold;Rose Dust","#D8C3A0;#C6A664;#C79E9E","The Rameen Chikankari Cotton Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=162","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=163","4.6","239","FALSE","FALSE","FALSE","6"
"KB-025","Sarah Embroidered Lawn 3-Piece","Unstitched Lawn","19308","","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Sarah Embroidered Lawn 3-Piece is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=169","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=170","4.5","237","FALSE","FALSE","FALSE","10"
"KB-026","Noor A-Line Kurta Set","Ready to Wear","16320","21764","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Noor A-Line Kurta Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=176","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=177","4.8","24","TRUE","FALSE","TRUE","6"
"KB-027","Zarish Organza Formal Frock","Formal & Party Wear","23337","","XS;S;M;L;XL","Antique Gold;Rose Dust;Ivory","#C6A664;#C79E9E;#F1ECDF","The Zarish Organza Formal Frock is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=183","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=184","5","111","FALSE","TRUE","FALSE","16"
"KB-028","Meherbano Sequinned Walima Lehenga","Bridal Couture","6512","","XS;S;M;L;XL","Emerald;Midnight Blue;Onyx","#1F5C4E;#1B2A4A;#1B1B1B","The Meherbano Sequinned Walima Lehenga is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=190","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=191","5","45","FALSE","FALSE","FALSE","3"
"KB-029","Anaya Quilted Velvet Kurta","Winter Shawls","8966","","XS;S;M;L;XL","Maroon;Sand;Antique Gold","#6E1F2A;#D8C3A0;#C6A664","The Anaya Quilted Velvet Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=197","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=198","5","96","FALSE","FALSE","FALSE","8"
"KB-030","Sana Linen Casual Shirt","Casual Kurtas","10173","","XS;S;M;L;XL","Rose Dust;Ivory;Emerald","#C79E9E;#F1ECDF;#1F5C4E","The Sana Linen Casual Shirt is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=204","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=205","4.2","50","TRUE","FALSE","FALSE","13"
"KB-031","Alina Embroidered Lawn Shirt with Trouser","Unstitched Lawn","9750","12996","XS;S;M;L;XL","Midnight Blue;Onyx;Maroon","#1B2A4A;#1B1B1B;#6E1F2A","The Alina Embroidered Lawn Shirt with Trouser is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=211","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=212","4.5","175","FALSE","FALSE","TRUE","20"
"KB-032","Rania Jacquard Kurti","Ready to Wear","15794","","XS;S;M;L;XL","Sand;Antique Gold;Rose Dust","#D8C3A0;#C6A664;#C79E9E","The Rania Jacquard Kurti is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=218","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=219","4.2","14","FALSE","FALSE","FALSE","11"
"KB-033","Mahira Organza Formal Frock","Formal & Party Wear","16921","","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Mahira Organza Formal Frock is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=225","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=226","4.4","72","FALSE","TRUE","FALSE","8"
"KB-034","Zoya Bridal Maxi with Dupatta","Bridal Couture","19221","","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Zoya Bridal Maxi with Dupatta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=232","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=233","4.3","134","TRUE","FALSE","FALSE","12"
"KB-035","Iman Velvet Winter Suit","Winter Shawls","21036","","XS;S;M;L;XL","Antique Gold;Rose Dust;Ivory","#C6A664;#C79E9E;#F1ECDF","The Iman Velvet Winter Suit is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=239","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=240","4.7","220","FALSE","FALSE","FALSE","4"
"KB-036","Areeba Chikankari Cotton Kurta","Casual Kurtas","17780","23700","XS;S;M;L;XL","Emerald;Midnight Blue;Onyx","#1F5C4E;#1B2A4A;#1B1B1B","The Areeba Chikankari Cotton Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=246","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=247","4.1","112","FALSE","FALSE","TRUE","6"
"KB-037","Hania Printed Lawn Kurta Set","Unstitched Lawn","6640","","XS;S;M;L;XL","Maroon;Sand;Antique Gold","#6E1F2A;#D8C3A0;#C6A664","The Hania Printed Lawn Kurta Set is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=253","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=254","4.3","71","FALSE","FALSE","FALSE","20"
"KB-038","Laiba Jacquard Kurti","Ready to Wear","8981","","XS;S;M;L;XL","Rose Dust;Ivory;Emerald","#C79E9E;#F1ECDF;#1F5C4E","The Laiba Jacquard Kurti is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=260","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=261","4.6","116","TRUE","FALSE","FALSE","7"
"KB-039","Amal Organza Formal Frock","Formal & Party Wear","10138","","XS;S;M;L;XL","Midnight Blue;Onyx;Maroon","#1B2A4A;#1B1B1B;#6E1F2A","The Amal Organza Formal Frock is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=267","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=268","4.9","24","FALSE","TRUE","FALSE","7"
"KB-040","Kainat Zardozi Bridal Gown","Bridal Couture","12923","","XS;S;M;L;XL","Sand;Antique Gold;Rose Dust","#D8C3A0;#C6A664;#C79E9E","The Kainat Zardozi Bridal Gown is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=274","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=275","4.5","54","FALSE","FALSE","FALSE","22"
"KB-041","Farah Quilted Velvet Kurta","Winter Shawls","11730","15642","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Farah Quilted Velvet Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=281","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=282","4.3","220","FALSE","FALSE","TRUE","13"
"KB-042","Nimra Everyday Lawn Kurti","Casual Kurtas","16598","","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Nimra Everyday Lawn Kurti is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=288","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=289","4.5","58","TRUE","FALSE","FALSE","20"
"KB-043","Wardah Digital Print Lawn Suit","Unstitched Lawn","18584","","XS;S;M;L;XL","Antique Gold;Rose Dust;Ivory","#C6A664;#C79E9E;#F1ECDF","The Wardah Digital Print Lawn Suit is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=295","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=296","4.2","61","FALSE","FALSE","FALSE","5"
"KB-044","Sabahat Cotton Karandi Suit","Ready to Wear","21394","","XS;S;M;L;XL","Emerald;Midnight Blue;Onyx","#1F5C4E;#1B2A4A;#1B1B1B","The Sabahat Cotton Karandi Suit is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=302","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=303","4.3","242","FALSE","FALSE","FALSE","8"
"KB-045","Zunaira Chiffon Party Gown","Formal & Party Wear","23312","","XS;S;M;L;XL","Maroon;Sand;Antique Gold","#6E1F2A;#D8C3A0;#C6A664","The Zunaira Chiffon Party Gown is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=309","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=310","4.9","132","FALSE","TRUE","FALSE","10"
"KB-046","Mariam Bridal Maxi with Dupatta","Bridal Couture","5040","6720","XS;S;M;L;XL","Rose Dust;Ivory;Emerald","#C79E9E;#F1ECDF;#1F5C4E","The Mariam Bridal Maxi with Dupatta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium silk and net, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=316","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=317","4.3","223","TRUE","FALSE","TRUE","11"
"KB-047","Dua Quilted Velvet Kurta","Winter Shawls","9197","","XS;S;M;L;XL","Midnight Blue;Onyx;Maroon","#1B2A4A;#1B1B1B;#6E1F2A","The Dua Quilted Velvet Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium pashmina and velvet, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=323","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=324","4.3","42","FALSE","FALSE","FALSE","11"
"KB-048","Eshaal Chikankari Cotton Kurta","Casual Kurtas","10113","","XS;S;M;L;XL","Sand;Antique Gold;Rose Dust","#D8C3A0;#C6A664;#C79E9E","The Eshaal Chikankari Cotton Kurta is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=330","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=331","5","78","FALSE","FALSE","FALSE","11"
"KB-049","Rameen Embroidered Lawn 3-Piece","Unstitched Lawn","12239","","XS;S;M;L;XL","Ivory;Emerald;Midnight Blue","#F1ECDF;#1F5C4E;#1B2A4A","The Rameen Embroidered Lawn 3-Piece is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=337","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=338","4.6","99","FALSE","FALSE","FALSE","11"
"KB-050","Sarah Straight Shirt with Sharara","Ready to Wear","15339","","XS;S;M;L;XL","Onyx;Maroon;Sand","#1B1B1B;#6E1F2A;#D8C3A0","The Sarah Straight Shirt with Sharara is crafted for the woman who carries her heritage with quiet confidence. Cut from premium lawn and karandi, finished with hand-detailed embellishment.","https://loremflickr.com/560/720/pakistani,fashion,women,dress?lock=344","https://loremflickr.com/560/720/embroidery,textile,fashion?lock=345","4.9","108","TRUE","FALSE","FALSE","12"
